"id","UniqueID","Gene.Name","Protein.ID","GeneType"
241,"ACTN1","ACTN1","","protein_coding"
242,"ACTN1-AS1","ACTN1-AS1","","protein_coding"
243,"ACTN2","ACTN2","","protein_coding"
244,"ACTN3","ACTN3","","protein_coding"
245,"ACTN4","ACTN4","","protein_coding"
246,"ACTR10","ACTR10","","protein_coding"
247,"ACTR1A","ACTR1A","","protein_coding"
248,"ACTR1B","ACTR1B","","protein_coding"
249,"ACTR2","ACTR2","","protein_coding"
250,"ACTR3","ACTR3","","protein_coding"
251,"ACTR3B","ACTR3B","","protein_coding"
252,"ACTR3BP2","ACTR3BP2","","protein_coding"
253,"ACTR3BP5","ACTR3BP5","","protein_coding"
254,"ACTR3C","ACTR3C","","protein_coding"
255,"ACTR5","ACTR5","","protein_coding"
256,"ACTR6","ACTR6","","protein_coding"
257,"ACTR8","ACTR8","","protein_coding"
258,"ACTRT1","ACTRT1","","protein_coding"
259,"ACTRT2","ACTRT2","","protein_coding"
260,"ACTRT3","ACTRT3","","protein_coding"
261,"ACVR1","ACVR1","","protein_coding"
262,"ACVR1B","ACVR1B","","protein_coding"
263,"ACVR1C","ACVR1C","","protein_coding"
264,"ACVR2A","ACVR2A","","protein_coding"
265,"ACVR2B","ACVR2B","","protein_coding"
266,"ACVR2B-AS1","ACVR2B-AS1","","protein_coding"
267,"ACVRL1","ACVRL1","","protein_coding"
268,"ACY1","ACY1","","protein_coding"
269,"ACY3","ACY3","","protein_coding"
270,"ACYP1","ACYP1","","protein_coding"
271,"ACYP2","ACYP2","","protein_coding"
272,"ADA","ADA","","protein_coding"
273,"ADA2","ADA2","","protein_coding"
274,"ADAD1","ADAD1","","protein_coding"
275,"ADAD2","ADAD2","","protein_coding"
276,"ADAL","ADAL","","protein_coding"
277,"ADAM10","ADAM10","","protein_coding"
278,"ADAM11","ADAM11","","protein_coding"
279,"ADAM12","ADAM12","","protein_coding"
280,"ADAM15","ADAM15","","protein_coding"
281,"ADAM17","ADAM17","","protein_coding"
282,"ADAM18","ADAM18","","protein_coding"
283,"ADAM19","ADAM19","","protein_coding"
