"","PS.rep1","PS.rep2","ART.rep1","ART.rep2","RS.rep2","RS.rep3"
"ALDOC",3.607,3.23614,2.15257,6.22103,2.86865,4.31925
"ALG1",53.7343,29.69884,23.5035,23.40914,14.268206,10.8982
"ALG10",7.25792,4.79574,5.4613,4.57534,3.23002,3.45048
"ALG10B",1.78705,4.688037,6.06217,1.925125,3.121386,3.430559
"ALG11",3.603611,7.339296,8.61757,5.64832,7.92026,10.8849
"ALG12",5.6462,3.78133,2.60137,9.01944,6.06737,5.80198
"ALG13",5.0564249133,5.786781,10.081548,15.526279568,8.7980651437466,14.6813527
"ALG14",70.00819,31.344665,27.1199,28.70499,14.8181,13.01673
"ALG1L",3.62553,2.35957,0.104815,4.69026,1.9089,0.57417800232217
"ALG1L2",0,0.106452,0.745816,0.348821,0.920058,0.460371
"ALG1L9P",0.857763,3.8809858,4.95691,3.7923,3.847904,5.803628
"ALG2",5.24203,6.52457,8.72277,10.84008,11.26845,11.71569
"ALG3",43.45087,17.53466,13.35123,40.194987,17.30152,16.911507
"ALG5",113.022,34.4761,32.5281,83.9818,33.8822,26.8064
"ALG6",4.80326,2.2317,1.89846,4.30356,1.42386,2.31717
"ALG8",299.61209,93.35543,56.0771,113.19659,44.23244,26.8642
"ALG9",15.2261746,13.451766,12.068856989,19.2468024,13.6173797,15.7659745
"ALK",2.129305,1.980125,3.07289,6.258,5.33964,3.84085
"ALKAL1",0.141589,0.085072,0.660284,0.198686,0,0
"ALKAL2",65.0415,107.794,92.8315,32.2112,79.1912,65.124
"ALKBH1",14.6107,9.28709,7.95159,14.8813,10.1056,8.64891
"ALKBH2",8.45888,27.28254668,16.93309,8.184939,27.35171,21.46601
"ALKBH3",51.5615,72.6319,92.3766,43.9675,68.0313,61.664
"ALKBH3-AS1",2.93506,5.17474,19.4716,18.1683,26.8679,29.5212
"ALKBH4",9.07277,10.5855,8.97325,4.76091,6.92598,8.56829
"ALKBH5",308.154,204.415,135.004,152.979,99.4875,85.2618
"ALKBH6",3.68453,3.81426,5.33702,4.093328,2.060011,2.558952
"ALKBH7",703.718,378.399,341.592,627.843,422.052,300.9
"ALKBH8",2.29472309,6.059418,10.37099,1.963650023634,3.88497043,4.69588
"ALLC",17.0283,12.1385,23.6809,95.569,92.1842,70.867
"ALMS1",106.933,152.187,135.29,181.889,161.088,147.453
"ALMS1-IT1",0.653756,5.71146,3.3148,0.853942,3.69917,3.51953
"ALMS1P1",1.79512,5.09238,8.06743,3.23809,6.12853,7.73506
"ALOX12",2.98294,2.70812,1.52272,2.90939,1.90223,1.91587
"ALOX12-AS1",4.19348,5.3351,14.9512,5.80212,5.40687,5.4518
