"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"LINC01962",4.42498253506059,5.16798006019493,5.05533016296871,4.29018108338671,5.08567108994141,4.12742692986628
"LINC01963",0.553798898041405,1.19573814411332,1.82188161416454,0.981935194999137,0.734129933219977,2.10475598696226
"LINC01964",2.78394480407453,2.81465705796026,3.08699431361316,1.74349342548157,1.96829723163886,1.3647124929766
"LINC01968",0.465702872816353,0.290269863249643,0.407762793546135,1.97564485892465,1.51725049307611,1.70985083969749
"LINC01969",0.858848341300411,0.89362315380378,1.22132649431901,1.4775529966031,0,0
"LINC01970",3.21323995056277,3.85168908401264,3.83309248347121,2.41472007145151,3.54978004823653,3.17653022493166
"LINC01972",1.53587877136522,3.87414775459479,3.6242646949849,1.37394882847247,3.69337544052927,2.88860493833893
"LINC01973",0.310375024102212,1.30087343822471,0.880255297056937,0.395784515040236,1.26593491194728,1.31389013104189
"LINC01975",0.251482789342405,1.38803520049172,0.245330148032252,0.476008327335457,0.824081875419123,0.937468692112189
"LINC01976",1.09677460020466,1.08501667348871,2.1069512708417,2.75974174307527,3.38247773960742,3.58935602387377
"LINC01977",0.553725186275249,1.51319257464676,0.532186275419001,0.904635151484073,1.60058851963522,1.68259127474387
"LINC01978",0.652970103896424,1.95635408464537,2.16903987701799,1.32650283349167,1.37348674294098,2.48309860378182
"LINC01979",0.115683840943338,0.306436076048552,0.243186477253134,0.301795988327577,0.108778950825802,0.199159085940213
"LINC01980",2.97859103504587,1.95873504896212,3.64515979694998,2.19394201866415,1.32390611587114,1.92140205306179
"LINC01981",1.24288293919734,0.505317801817398,1.57420325629263,3.29342345857026,2.37917178261288,2.57894354219004
"LINC01982",0,1.68452702788435,0,0,0.656446945102772,2.56509019393241
"LINC01983",0.438073502669971,0,2.20032857273934,0,1.77392882902747,0.600808284510556
"LINC01985",0,1.29671582120072,0.575462401896176,1.32236083849133,2.86436049588834,1.25747534467941
"LINC01986",3.17574494056149,3.31222224930631,3.49545213501233,3.18899902211619,4.03036256579686,2.81421816545107
"LINC01987",0,0,0,0,0,0
"LINC01988",4.57361689436603,2.9413279580011,2.13567932903235,6.34909984371926,4.44003527726593,3.91294680343557
"LINC01989",2.58481100978845,1.26669060765333,1.91258855384502,4.77012073615658,3.61555754638991,2.94213912121148
"LINC01990",0,0.782838792955264,0.139545458824035,0.417626255564373,0.642379037419383,1.0391594549947
"LINC01991",0.354761316690887,1.14707871541124,0.352271519153169,0.456704184666317,0.953492475856555,0.804493902100983
"LINC01992",0.457644718327722,1.30501910808109,0.635766462046592,1.58773461918295,2.14786998889463,1.4710573647973
"LINC01993",0.276459741703439,1.37285182990736,1.55389127813715,0.494091959805392,0.977429406441552,1.70765730426016
"LINC01994",0.157818546277278,0,0,0.373817455355082,0,0
"LINC01995",1.40722220920787,0.477035872071233,0,3.53595340059943,3.10564790969954,2.66894283269629
"LINC01996",1.29895737987837,1.66477408062728,1.28949809215365,1.83362281834506,1.70092793230796,1.52493625237875
"LINC01999",2.15799764365987,1.55604677155,0.63019483008549,3.38213876717215,3.11554768580282,2.34384838109539
"LINC02000",0,0,1.05819179147035,0.213214127669202,0,0
"LINC02001",2.02246369357425,3.51644385630168,3.90386738859444,2.49767111959848,3.42554389814111,3.31890970693663
"LINC02003",1.64953728701508,1.63470013078727,0.290149522451376,2.9939279205166,3.3951011977339,1.83609379309945
"LINC02004",0,0,0,0,0.679259835940706,0
"LINC02005",0.514178830385733,2.85987217295557,2.28096521932851,0.880465333410897,2.02664427527228,2.34836840922013
"LINC02006",0.27504758546867,0.516723205332727,0.313736923132913,0.679207580343884,0.448134480980526,0.291307680915278
"LINC02008",0.692767298352099,1.82206931365961,0.487286704409921,0.790136444914109,0.678725478239059,1.41019454801269
"LINC02010",0,0.203292656466519,0.955617846397079,0,0,0.359843868387697
"LINC02011",0.0903576813262702,0.190528896410524,0,0.329387707326442,0.31063677336497,0.0268163448890685
