Geneid	Length	genome_mapping/High_6555c3.rep5.RNAseq.mm10.sorted.bam
Olfr453	954	0
Olfr212	2672	0
Olfr213	984	0
Olfr1318	1110	0
Olfr1306	939	0
Olfr1211	936	0
Olfr1385	930	0
Olfr901	936	0
Olfr191	930	0
Olfr198	921	0
Olfr728	936	0
Olfr485	954	0
Olfr487	945	0
Olfr951	945	0
Olfr93	939	0
Olfr524	957	0
Olfr533	963	0
Olfr1181	936	0
Olfr316	921	0
Olfr312	927	0
Olfr1359	992	0
Olfr804	945	0
Olfr787	939	0
Olfr834	939	0
Olfr832	939	0
Olfr1105	939	0
Olfr967	933	0
Olfr963	936	0
Olfr304	1002	0
Olfr761	972	0
Olfr119	1116	0
Olfr1500	936	0
Olfr1490	951	0
Olfr1137	933	0
Olfr1152	933	0
Olfr1162	945	0
Olfr1129	945	0
Olfr748	924	0
Olfr1437	1036	0
Olfr1463	933	0
Olfr1465	924	0
Olfr1474	945	0
Olfr597	948	0
Olfr517	945	0
Olfr591	945	0
Olfr675	942	0
Olfr792	936	0
Olfr1505	951	0
Olfr412	939	0
Olfr1029	1061	0
Olfr1425	936	0
Olfr605	1011	0
Olfr169	942	0
Olfr1331	954	0
Olfr685	951	0
Olfr504	957	0
Olfr965	939	0
Olfr1222	936	0
Olfr331	975	0
Olfr699	951	0
Olfr406	972	0
Olfr917	930	0
Olfr624	927	0
Olfr309	927	0
Olfr538	933	0
Olfr1178	972	0
Olfr452	954	0
Olfr1329	942	0
Olfr506	945	0
Olfr1034	1023	0
Xkr9	1926	58
Xkr4	3634	8
Rnase12	545	0
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	1929
Slc39a12	2676	6
Hsd3b3	1826	251
Defa23	418	0
Nsrp1	3116	1529
Slc25a47	1580	6304
Pgbd1	3580	89
Sctr	1922	0
Mup20	886	223
Ecm2	3596	104
Zfp708	2634	114
Zbtb18	5705	3376
Mdk	1403	264
Slc2a9	3865	653
Bpifb1	1712	8
Hacd1	1008	1036
AU022252	1867	635
Hspb6	1853	3206
Hs3st6	1358	24
Ankrd6	5296	115
Cxcl12	7161	4444
Fut10	5095	525
Ehmt1	5107	5301
Klri1	838	8
Rims1	6949	18
Acd	1718	1990
AY761185	486	8
Smim19	1459	1295
Wfdc13	1074	0
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	542
Ear12	471	0
Zfp787	3027	1551
Dhrs7c	1124	214
Lrrn4cl	2600	302
Odf3b	1040	101
Mterf1a	1376	105
Usp13	4686	1304
Tgfbrap1	5719	3047
Ttf2	4541	2128
Tmem263	3778	2196
Ctc1	4167	2262
Npcd	4873	0
Osm	1907	756
Wdr91	2637	1530
Prkaa1	4655	3232
E2f8	3880	1132
Pfdn4	1059	1503
Sesn1	3339	3333
Dtx3l	5181	1341
Nrp	1170	68
Tmprss13	3244	0
Lman2l	2290	1298
Utp18	2613	2508
Rpp38	1027	320
Arhgef39	2402	540
Uspl1	3934	2918
Zfp930	2996	1001
Dync1li2	4633	8723
Rsad1	4151	1910
Lrrc52	1137	4
Podnl1	2080	410
Grm4	5265	24
Rasl10b	4010	350
Zfp182	5944	725
Mrs2	2161	834
Scn4b	4757	220
Cpsf6	6572	6320
Gm11487	1323	2
Tcaim	3039	749
Nkain2	3745	6
Ccl26	282	0
Neurl4	5267	2857
Ric8b	4962	1631
Olfr112	1672	0
Inip	3216	905
Pard3	8550	6362
Vmo1	672	3
Ercc6l2	6161	2630
Tex24	1767	0
Trim6	3827	419
Ddn	3740	21
Zfp57	3228	3766
Tmem151b	4851	38
Gm597	2882	0
Syna	2918	20
Pcdh17	9509	223
Gm9949	984	58
5730409E04Rik	2855	643
Grhl3	2791	6
Vwde	6597	16
Lingo3	3559	12
Gas2l2	2943	6
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	148
Ces1a	1979	8
Zscan4c	2276	0
Samd3	3554	8
Capn11	2575	5
Rsl1	2045	162
Lipo3	2842	202
Gm973	4375	0
Nxpe5	2312	277
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	105
Aim2	2537	515
Slc25a34	2682	659
Fam71b	2190	2
Ccdc92b	4002	26
Akr1c19	1242	1931
Zscan26	4362	3043
Vmn1r209	939	0
Otulin	1489	2060
Spink6	777	6
Mettl21c	1086	0
Macrod2	5041	90
Flg2	7671	0
Ankrd13c	4317	3858
Gm5591	3441	0
Fam169b	2876	273
Maml2	6139	1683
Amt	2047	625
Gm5622	1581	0
Sp140	2416	442
Slc22a28	2004	0
Krtap4-16	951	14
Gm5662	1842	6
Dupd1	1103	46
Shf	1928	1091
Gpr31b	960	12
Prkg1	7378	282
Dyrk2	2137	2386
Adgrf3	3099	14
Fbxw22	1824	0
Zfp985	2827	4
Trcg1	2701	6
Abi3bp	4742	847
Scn2b	4562	32
4930404N11Rik	695	0
Zmynd12	1505	23
Snx13	6226	4717
Ttll4	8164	2936
Espl1	6684	2297
Wdr7	7108	2097
Fam189b	3240	3310
Cenpj	4363	274
Klrh1	2000	0
Zfyve28	3980	66
Rap1gap2	7238	2496
G2e3	6726	2855
Dcaf1	5697	2558
E130308A19Rik	5481	606
Tyw1	6626	3057
Taf9	1334	2983
Arid3c	1751	13
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	1
Ear4	467	0
Kdm6b	6820	5049
Rasef	5183	1015
Cox17	436	2094
Btbd11	5955	1512
Zscan18	3772	77
Lamp2	6772	21486
Ddi2	3539	2379
Zdhhc18	2847	2208
Foxred2	4891	2188
C2cd3	7812	2018
Dppa4	1534	0
Izumo1	1493	16
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	6614
Rtl8b	1272	306
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	286
Kbtbd7	4528	568
Anks6	3980	278
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	633
Nxf3	2978	0
Fbxo10	5970	737
Pla2g4f	3116	0
Ugt2a2	2536	0
Nufip2	10399	5374
Trappc1	745	1656
Defa24	419	0
Gm5431	2971	26
Crls1	2054	1927
Add1	4516	22781
Bcat1	8102	508
Diras2	4348	128
Cdhr3	2953	22
Dcun1d2	3034	1020
Brd9	2494	2626
Fam149b	3149	1659
Larp4	6747	5995
Shc2	3957	3060
Snx32	1930	446
Cep170b	6640	20953
Ankrd28	5229	6600
Pdp2	5670	929
Cfap299	861	0
Rabl6	3191	6612
Inpp4b	9795	2674
Xirp2	11971	4654
Tsku	2800	3221
Pcnp	2447	3599
Cdkl5	3246	339
Zfp873	2365	305
Carmil3	5308	62
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	12
Zbtb45	2238	715
C1ql4	717	10
Mctp2	5789	362
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	279
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	0
Triobp	7736	5143
Gal3st3	2422	18
Cyp2c67	1706	272
Hmcn1	18314	1076
Ifi214	1294	2
Zfp607a	3511	277
Rps23rg1	1621	50
Cebpz	4077	4221
Adarb1	6706	3841
Gm128	1470	16
Hoxc11	915	4
Zfp62	5001	1652
Apol7b	2227	1
Gm14325	4394	659
Rhox10	760	0
Ankrd34a	2586	25
Timm9	1117	931
Ttbk2	11268	2511
Septin10	5152	3442
N4bp2	5731	1475
Rfx4	4074	0
Bod1	1402	3171
Trp53i13	1366	606
Ddx49	2193	2838
Cyb5d2	2376	368
Pitpnm3	6666	458
Zfp667	3671	92
Rbfox3	4921	38
Pilrb2	1815	780
Qsox1	3361	17065
Zfp563	6382	404
Rc3h1	11011	4232
Pbx4	1427	62
Pik3r1	7363	5191
Lrig2	7174	2347
Ntrk2	14037	238
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	5379
Arl14ep	3666	2188
Cracr2b	1687	1220
Ccdc93	7256	2417
Zfp78	4990	79
Cxadr	6951	14125
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	6001
Trp53i11	3322	2110
Vegfa	4174	26522
H2al1e	494	0
Tpd52	6331	16403
Dffa	2672	1130
Tfap2b	6502	0
Stx3	5097	1635
Pja2	4706	7694
St6galnac6	2695	2013
Dclre1b	4288	924
Tapbp	2750	7684
Defb46	174	0
Gm6040	857	0
Klc1	3180	8819
Rtn2	2102	717
Miip	1813	1818
Serinc4	2534	186
Adcyap1r1	6245	298
Zfp943	2734	764
Wdr61	1331	1955
Orc2	3561	1931
Sema3g	3686	307
Adam39	2441	0
Gpr17	5193	236
Insyn2b	5371	0
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	4736
Sufu	4525	2301
Bclaf1	5454	7889
Src	3887	11339
Depdc5	8446	1656
Hmga1	2046	938
Spag9	7864	12574
Btbd3	5111	3456
Crebbp	7507	4258
BC053393	2043	0
Camk2d	8588	10098
Aptx	5747	894
Sox6	9362	391
Pus1	1887	2440
Lhx9	5750	111
Dmbx1	4032	0
Pde1c	12826	671
Prrx1	7448	2332
Sh2d2a	4758	39
Ankrd12	8991	2415
Slc23a4	2158	38
Bpifb9b	2046	0
Cfhr2	1602	1828
Ccdc141	6329	1232
Maf	3642	2170
Kcnc2	6770	30
Dram2	2722	4369
Kcnj6	6959	0
Nr2c2ap	1193	222
Rfxank	3682	748
Zbtb43	5177	2810
Ikzf1	5664	591
Trim26	3235	3763
Cadm1	4629	6272
Il1rl1	7096	174
Gm527	1463	222
Tmem171	1169	953
Gm5168	840	0
Szrd1	3297	7754
Ms4a7	1716	408
Snx22	2585	87
Otud7b	8101	7137
Ccdc50	7048	8223
Cant1	3273	5098
Cdc6	5024	458
Dnm1l	4270	6930
Dnajc19	2771	1417
Ensa	2962	7227
Entpd5	5076	4220
Npnt	4800	24884
Pik3cd	5404	1144
Pknox2	3550	136
Sla	3135	1947
Slc16a6	4841	1102
Vrk1	4133	1797
Magi1	9853	5572
Psme2	977	3388
Atad5	7272	877
Ugt2b36	1888	2352
Pdzd4	3972	162
Itgad	3964	53
Unc13a	7960	2033
Urb2	6098	2566
Nova2	8372	158
Lonrf2	6884	44
Usf3	12607	3322
Mex3a	6225	2346
Psg26	2058	0
Ate1	5356	2456
Zswim5	5397	87
Zmynd15	2992	482
Gm5796	1815	0
Zfp114	3111	0
Usp32	6924	3998
