Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Gm20815	1796	0
Tbata	2023	0
Ear4	467	0
Kdm6b	6820	15424
Rasef	5183	532
Cox17	436	2243
Btbd11	5955	2394
Zscan18	3772	47
Lamp2	6772	35864
Ddi2	3539	2943
Zdhhc18	2847	4587
Foxred2	4891	654
C2cd3	7812	6151
Dppa4	1534	2
Izumo1	1493	4
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	10358
Rtl8b	1272	186
Lce3f	620	0
Ldoc1	1340	2
Trim15	1866	202
Kbtbd7	4528	1187
Anks6	3980	583
Pla2g4d	3286	1
Gpr139	4776	0
Adamts15	6078	208
Nxf3	2978	0
Fbxo10	5970	1214
Pla2g4f	3116	1
Ugt2a2	2536	0
Nufip2	10399	8365
Trappc1	745	2296
Defa24	419	0
Gm5431	2971	48
Crls1	2054	2861
Add1	4516	37346
Bcat1	8102	262
Diras2	4348	1268
Cdhr3	2953	1
Dcun1d2	3034	2077
Brd9	2494	5057
Fam149b	3149	3000
Larp4	6747	8116
Shc2	3957	7588
Snx32	1930	558
Cep170b	6640	24768
Ankrd28	5229	23329
Pdp2	5670	1854
Cfap299	861	0
Rabl6	3191	9506
Inpp4b	9795	5116
Xirp2	11971	1179
Tsku	2800	1655
Pcnp	2447	6991
Cdkl5	3246	195
Zfp873	2365	298
Carmil3	5308	104
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	27
Zbtb45	2238	1440
C1ql4	717	0
Mctp2	5789	171
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	173
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	0
Triobp	7736	9320
Gal3st3	2422	2
Cyp2c67	1706	76
Hmcn1	18314	237
Ifi214	1294	0
Zfp607a	3511	654
Rps23rg1	1621	43
Cebpz	4077	6466
Adarb1	6706	5019
Gm128	1470	24
Hoxc11	915	0
Zfp62	5001	1953
Apol7b	2227	0
Gm14325	4394	505
Rhox10	760	0
Ankrd34a	2586	64
Timm9	1117	1463
Ttbk2	11268	3019
Septin10	5152	4784
N4bp2	5731	2109
Rfx4	4074	0
Bod1	1402	5418
Trp53i13	1366	1004
Ddx49	2193	3522
Cyb5d2	2376	364
Pitpnm3	6666	1863
Zfp667	3671	153
Rbfox3	4921	8
Pilrb2	1815	2703
Qsox1	3361	19942
Zfp563	6382	436
Rc3h1	11011	8532
Pbx4	1427	44
Pik3r1	7363	6122
Lrig2	7174	3647
Ntrk2	14037	104
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	9116
Arl14ep	3666	3456
Cracr2b	1687	1941
Ccdc93	7256	3662
Zfp78	4990	74
Cxadr	6951	21445
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	2852
Trp53i11	3322	1616
Vegfa	4174	54380
H2al1e	494	0
Tpd52	6331	30470
Dffa	2672	1367
Tfap2b	6502	14
Stx3	5097	1658
Pja2	4706	10026
St6galnac6	2695	2942
Dclre1b	4288	841
Tapbp	2750	8443
Defb46	174	0
Gm6040	857	0
Klc1	3180	14077
Rtn2	2102	501
Miip	1813	2403
Serinc4	2534	232
Adcyap1r1	6245	99
Zfp943	2734	440
Wdr61	1331	5541
Orc2	3561	3049
Sema3g	3686	105
Adam39	2441	0
Gpr17	5193	87
Insyn2b	5371	0
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	1789
Sufu	4525	7950
Bclaf1	5454	9350
Src	3887	17297
Depdc5	8446	3124
Hmga1	2046	2658
Spag9	7864	18951
Btbd3	5111	7078
Crebbp	7507	7323
BC053393	2043	0
Camk2d	8588	20863
Aptx	5747	1548
Sox6	9362	66
Pus1	1887	3369
Lhx9	5750	150
Dmbx1	4032	2
Pde1c	12826	126
Prrx1	7448	2496
Sh2d2a	4758	4
Ankrd12	8991	1617
Slc23a4	2158	40
Bpifb9b	2046	0
Cfhr2	1602	471
Ccdc141	6329	444
Maf	3642	4152
Kcnc2	6770	80
Dram2	2722	7977
Kcnj6	6959	0
Nr2c2ap	1193	347
Rfxank	3682	1291
Zbtb43	5177	4852
Ikzf1	5664	500
Trim26	3235	7141
Cadm1	4629	28142
Il1rl1	7096	87
Gm527	1463	410
Tmem171	1169	2426
Gm5168	840	0
Szrd1	3297	14865
Ms4a7	1716	1190
Snx22	2585	125
Otud7b	8101	14788
Ccdc50	7048	15037
Cant1	3273	11697
Cdc6	5024	1750
Dnm1l	4270	8068
Dnajc19	2771	1711
Ensa	2962	11370
Entpd5	5076	3556
Npnt	4800	77610
Pik3cd	5404	917
Pknox2	3550	36
Sla	3135	813
Slc16a6	4841	1270
Vrk1	4133	3316
Magi1	9853	12444
Psme2	977	6690
Atad5	7272	833
Ugt2b36	1888	598
Pdzd4	3972	392
Itgad	3964	7
Unc13a	7960	3438
Urb2	6098	4492
Nova2	8372	307
Lonrf2	6884	20
Usf3	12607	3561
Mex3a	6225	17390
Psg26	2058	0
Ate1	5356	4732
Zswim5	5397	22
Zmynd15	2992	1193
Gm5796	1815	1
Zfp114	3111	10
Usp32	6924	4648
Trim38	1480	5
Specc1	10856	18540
Sec14l3	3928	22
Rilp	1487	438
Gm4788	2887	371
Tceal3	1431	6
Safb2	3277	7465
Sec23ip	4577	8879
Man1b1	3742	11297
Fcrlb	1284	212
Kcp	4888	90
Doxl2	2492	0
Fat2	14423	166
Mettl17	1623	1923
Zc3h18	3816	12687
Mcat	1893	2611
Ndufs5	509	1138
Rdh8	3354	4
Kcnk15	1032	0
Spry3	4346	0
Prr7	1360	146
Tmprss11c	1615	0
Pmp2	1364	0
Dkc1	2978	6674
Abca17	5348	6
Gm16367	2037	0
Nudt10	1751	16
Gsk3a	2259	6407
Lin28b	5403	2
Mrpl41	2423	1784
Kcnh8	4287	0
Smg1	15553	15468
Agxt2	2286	210
Bglap2	473	0
Pecam1	3333	1301
Pear1	4713	19815
Sybu	4355	25
Klhdc9	1555	2
Ccdc189	2573	102
Acmsd	2303	66
Lrrc14b	2746	205
Rnf17	5147	16
Cd69	1621	28
Gm14288	428	0
Ntrk1	2588	6
Cd27	1576	15
Bbs1	5597	380
Krtdap	462	0
Commd6	875	1966
Rnf149	2434	7075
Rmdn3	2252	4195
Spindoc	3618	5418
Sdhaf1	967	788
Ecscr	1244	1646
Rnf166	1875	4508
Dipk2a	3950	2256
1700029J07Rik	2744	127
Ttc9	4778	686
Plekhm2	4163	4002
Dnajb14	1851	1881
Fbxo33	3446	3021
5730507C01Rik	2542	7
Rasl12	3876	249
Zfp597	5630	1503
Tradd	1385	3118
Shcbp1l	2045	15
Ephx3	2423	37
2510002D24Rik	1232	1055
Dnajc25	1827	2228
Selenoh	685	5480
Slc22a23	6287	15424
1700066B19Rik	2504	73
Fam83e	2900	522
Klrg2	2282	541
Rab11fip2	6080	2230
Usp31	10387	4778
Osbp	4587	13053
Cln6	2142	1545
Slc6a21	1732	0
Krt76	2312	85
Tmem181a	4620	2609
Jrkl	2952	1378
1700057G04Rik	1052	1
Ccdc190	1443	4
Skap1	2190	14
C77080	5659	23460
Naa11	3364	98
Fam8a1	3717	10104
Gtf3c3	4764	4269
Znfx1	7349	4369
AU015228	2982	0
Clca4b	2997	0
Ncbp1	3111	8654
Usp30	2790	3629
Rpusd3	1277	385
Zfp575	2741	1
Pwwp2b	2640	2912
Nlrc5	6945	462
Myzap	2283	6234
Xylb	3978	1530
Pls1	3697	4173
Ezhip	2203	0
Rprml	1072	0
Ttc7b	3508	1164
E330034G19Rik	1587	0
Zfp957	2751	0
Prickle1	4356	1030
Slc45a4	7657	3618
AU021092	1372	252
Mpig6b	2382	10
Pdzd8	7076	8953
Lin7a	6835	48
Pnrc1	1925	23492
Calr4	2527	9
Slc5a10	2263	14
Itga1	5982	5135
Cyp11b1	2398	0
Mcrip1	1694	5149
Tmprss11a	2657	0
Gm9	1663	0
Trim40	2197	47
Vcpkmt	1980	1435
Yeats2	7344	6551
Cblb	6322	5875
Csta1	2731	0
Wfdc6a	867	0
Gm382	4070	0
Cln5	2447	4238
Fancd2	5515	2030
Hk3	3269	431
Ccdc110	4116	0
Cfap44	6583	0
Gm266	1215	4
Zfp583	2765	18
Lemd1	1252	9
Gpr174	5384	0
Gm732	1661	0
Plekhg1	7414	250
Pak6	4193	1651
Gm136	1303	0
Spata5l1	1321	1046
Phactr2	9042	535
Arfgef3	8216	18
Mcu	2872	6281
Stox1	3475	6
Zfc3h1	6956	5203
Marchf9	1998	829
Agap2	5634	134
Gls2	2489	997
Gm525	581	0
Qrich2	2162	8
Fam120a	5151	48254
Eif4e1b	2113	0
Slc4a7	7925	10097
Pip4p1	1608	4527
Spata13	7844	11761
5031439G07Rik	7157	17719
Brd1	5137	16995
Gxylt1	6734	4352
Kmt2d	19827	22077
Spryd3	2437	5626
Ilrun	3812	20642
Gm94	748	0
Prdm6	2601	4
Oosp3	807	0
Cryzl2	1632	248
Cdc42bpa	9451	8300
Slc30a10	5835	47
Sbspon	2748	8
Slc9a2	3493	5974
Gpr55	2550	145
Usp40	5316	3738
Espnl	5442	22
Uap1l1	1729	4746
Ddx31	3437	1870
Sel1l2	2219	0
Smim26	460	645
Kiz	2166	2408
Zfp217	5843	8180
Gmps	4567	10858
Fhdc1	6073	1225
Ciart	1395	738
Ampd1	2342	15
Elapor1	6151	141
Ndufb6	659	3442
Shb	2744	7038
Themis2	2542	401
Cox18	1334	779
Vsig10	4054	1141
Fbxl18	2831	1182
Pdap1	2139	14016
Ccdc61	2010	2617
Hipk4	2414	183
Ffar3	1625	0
Cnga4	2480	12
Cog7	2884	3272
Ppfia1	5259	9716
