Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Prl2a1	870	0
Aldh9a1	2833	8055
Glmp	1537	15381
Mtor	8595	7993
Cyp51	4353	17820
Fgf21	947	0
Magea1	1272	0
Magea2	1685	0
Magea3	1107	0
Magea5	1563	0
Magea6	1201	0
Magea8	1646	0
Mos	1448	2
Rfc2	1518	4268
Taf10	757	5051
B3galt2	4578	16
B3galnt1	2267	241
Lpar2	5701	2938
Raet1d	1271	8
Ankrd2	1111	293
H1f5	794	170
Calm4	915	0
Mocs1	2644	2938
Lat2	1672	639
Dhodh	2318	1820
Tacstd2	1764	8
Slc6a14	3432	4
Tmem9b	1685	3433
Ascl3	706	4
Scube2	3562	16
Scand1	760	3054
Hhip	9078	546
Arhgap31	7722	1275
Psg23	2179	0
Zfp109	2747	253
Pate4	1016	0
Dkk2	3705	4594
Trim44	5612	18226
Klk1b27	888	0
Pdxp	2001	242
Htr3b	2411	0
Tnfrsf10b	3179	6157
Trpm5	4383	16
Lgi1	4460	2
Ccl28	3739	100
Magea4	948	0
Ctsr	1335	0
Insm2	3101	4
Olfr749	1021	0
Olfr544	1181	0
Olfr690	1062	0
Olfr480	1028	0
Cldn9	1443	16
Lmbr1	4932	2717
Adam21	2920	22
Ank	3496	80778
Sap30bp	2086	4838
Bcam	2407	18172
Prss21	1077	0
Ltb4r2	1439	12
Znrd2	701	2290
Srf	4093	5231
Slco1b2	3307	384
Zfp276	4877	3335
Tas2r105	903	0
Tas2r108	894	0
Tas2r119	1006	0
Cldn13	1070	0
Tob2	3994	8731
Retnla	541	322
Fzd2	3628	2968
Olfr1508	1865	0
Olfr1509	1010	0
Olfr140	909	0
Slc16a8	1791	52
Lenep	668	229
Vsig2	1170	60
Slurp1	522	123
Slc25a20	1746	2783
Cmpk2	3189	100
Mrps31	1536	2845
Smpdl3a	1791	1436
Scgb1b2	419	0
Sult5a1	1160	31
Sult3a1	1096	0
Gmnn	977	2825
Park7	903	10103
Xrcc2	3215	977
Marchf7	2719	6250
Psors1c2	844	12
As3mt	1736	3101
Ehd3	3658	151
B4galt3	1998	4921
Nelfcd	2279	3943
Angptl4	1903	10020
Atp5j2	428	8883
Terf2ip	3599	3527
Herpud2	2744	5995
Gabarapl1	1773	14804
Zc3h8	1567	758
Otor	1029	0
Egr4	2148	0
Msmb	521	0
Olfr17	948	0
Rps14	597	111343
Tbl1x	2302	11635
Wdr46	2164	4065
Jph1	4807	270
Jph3	3903	10
Parva	4450	19338
Cramp1l	7519	6380
Nrip3	3913	22
Srd5a3	1769	2594
Taf1b	2019	1921
Akip1	1034	662
Smarce1	2918	12182
Mogs	2774	6736
P2ry4	4434	8
Fam3b	972	31
Pth	717	0
Zbtb22	2607	3621
Tk2	2400	3075
Cftr	6304	1886
Slc46a2	2060	0
Fabp7	762	37
Ckb	1478	569
Cxcl10	1100	780
Kcna4	4844	6
Tmsb4x	670	189097
Wnt1	2371	29
Plcg1	4435	13687
Cyp2e1	1762	6275
Il4	843	4
Kras	4670	21628
Sptbn2	9876	981
Tyms	3808	2643
Evc	4312	1676
Dbil5	575	15
Grpel2	4046	4340
Tlr4	7891	2993
Rhox4b	886	0
Abhd1	1356	21
Zfp112	3507	231
Jmy	8780	8038
Piwil1	3944	0
Noc3l	3977	4457
Dnajb7	1186	40
Ntn4	2411	1939
Wdr4	3890	3682
Cd200r1	1891	272
Glp1r	1480	100
Snrpb2	1230	6020
Snrpa1	1250	5297
Skiv2l	3963	10628
Cdon	7214	1368
Kcne4	2508	88
Tesc	1036	151
Hacd3	2733	6895
Zfp318	13919	3944
Gsdma	2726	0
Tnfrsf13b	2839	282
Chml	6116	1157
Slc26a3	2910	2
Drg2	1788	5180
Fmod	3123	74
Pappa	11027	119
Klf13	6396	20698
Tslp	1333	42
Olfr1264	927	0
Chrna6	2906	0
Asic5	1657	0
Caln1	2936	4
Rhbg	1912	12
Klrc3	666	4
Tacr3	3764	0
Cnot9	3266	6168
Rsad2	3785	240
Vstm2b	1455	8
Ppp1r1a	1295	26
Ap4m1	1716	1973
Hyou1	4432	19107
Pdcd1lg2	3415	150
Zbtb32	1905	149
Slc43a3	2601	1149
Srrm3	3932	10
Cst10	789	0
Trem3	1048	22
Ush2a	15889	0
Pard6b	3399	1734
Fam184b	4123	6
Rnf8	2078	663
Stk4	5232	8392
Shank3	7379	1318
Nectin1	5683	1905
Fam181b	1842	4
Dexi	1389	1067
Hs1bp3	2958	2979
Rilpl1	2249	1696
Nudt11	2623	12
Nap1l5	1894	21
Stx6	2459	5263
Gpr180	2877	2121
Slc35b4	3697	6052
1700123O20Rik	1889	4108
Chst11	5519	1105
Cep295nl	1978	172
Ccl8	511	3141
Cts6	1323	0
Trim54	1532	623
Crbn	4053	5954
Pmaip1	2654	8435
Kcnmb4	1005	1
Pga5	1416	0
Cdc42ep5	870	3218
Ces1g	2289	8
Fzd1	4378	5505
Fzd3	12742	70
Isl1	2526	0
Mknk2	3448	14497
Prps1	1975	4021
Rnase4	1996	16443
Akr1a1	1414	53340
Adamdec1	2412	324
Tulp1	2085	11
Tdh	1881	1
Rps6kb2	2300	2078
Kcne1l	1446	0
F12	1971	1374
Smpd3	5125	13871
Ap3b2	3806	16
Arhgap23	5450	7797
Nectin3	4147	1355
Pole3	599	3509
Wrap73	1600	1287
Maea	2128	18308
Pias4	1668	2598
Trappc2l	610	1986
Sh3rf1	5181	15250
Myoz1	1294	56
Moxd1	3083	296
Rrs1	2048	4389
Nup160	5684	5787
Thap11	1848	3939
Rab2a	2057	38945
Edf1	724	10464
Med12	8447	11338
Huwe1	14624	44511
Nampt	4547	12303
Rcl1	1803	4270
Psmd14	1541	11383
Chst12	1786	1348
Ppp2r3c	2493	2472
Carm1	3218	7409
Pxmp4	1468	1382
Smu1	3273	12273
Stk25	3254	15467
Cope	1063	12622
Wsb2	2404	14664
Cryba2	720	0
Kcnk5	3364	836
Naip7	4842	6
Stard3	2083	5555
C1galt1c1	1507	2321
Nsa2	2686	14868
Mettl9	1823	9611
Hgh1	1967	1821
Mrps30	1590	5108
Bhlhe22	3190	22
Tas2r140	939	0
Pcbp4	2038	3811
Chrnd	2965	8
Ncstn	2855	20774
Dctn5	1532	4465
Slc18a3	2414	0
Myg1	1479	3339
Wbp11	2722	12347
Chst7	2195	81
Ms4a4b	1258	11
Cldn15	1851	99
Donson	2323	1324
Sap30	1183	4327
Trappc4	1168	6221
Doc2g	1397	1102
Pgap6	3463	1155
Eed	2060	3482
Oca2	3133	0
Pmel	2130	43
Tmod1	2871	698
Tub	5941	8
Cenph	1251	1121
Il21r	2607	439
Qtrt1	1321	1790
Syt9	3816	4
Fads3	3269	17309
Npvf	818	0
Cd274	3638	1053
Tsga8	1072	0
Foxj2	5013	6065
Tlx1	2030	0
Mapk8ip2	3539	0
Fxyd6	1792	214
Fxyd7	678	37
Map3k11	3803	8418
Impg1	3587	0
Trpv4	3226	731
Niban1	3939	5849
Dusp10	2792	3564
Rbp7	594	30
Ube4b	5508	12529
Gmfb	4171	13525
Slc5a7	5180	234
Sav1	2523	13825
Nrgn	1293	20
Sv2a	3917	115
Hapln2	2055	2
Perp	1900	6464
Oxct2a	1805	8
Tcte2	1417	88
Tnr	5395	17
Eral1	2014	2195
Smoc2	2832	574
Slc28a3	4564	8
Clstn2	4351	6
Tnmd	1326	2
Sdf2l1	1108	1991
Ctsz	1440	15880
Ralb	2277	9048
Mllt1	3609	7854
Foxb1	2984	0
Zfp296	1530	122
Myh9	7435	269943
Slc13a2	2240	61
Trpv6	2928	14
Ptges	3647	17514
Stk32b	3440	4
Itm2c	2024	20058
Tmub1	1320	1166
Abhd8	1985	1235
Rnf187	1939	11161
Gpr88	3450	12
Ms4a8a	1082	612
Sp5	2097	10
Ddr2	8290	483
Ndst4	3489	0
Thop1	2585	3906
Ireb2	5808	7071
Fgf23	2702	44
Suv39h2	4282	466
Svep1	11275	475
Acot10	1537	24
Myl7	590	4
Rgs18	2023	70
Bhmt2	2090	505
Slc30a5	3179	7709
Scel	3053	865
Izumo1r	1656	4
Pes1	2911	13308
Rpl23	1062	67361
Rcan3	5062	7928
Rtn4r	1938	6
Lpar3	2494	36
Zic5	2383	0
Nif3l1	2589	2582
Arl6ip6	2553	3757
Arl6ip5	1339	21361
Lrp10	3012	24731
Pmepa1	4531	47711
Vps35	3196	22627
Prrg2	1301	1403
Slc15a3	2345	958
Ccl21c	867	0
Twsg1	4047	15077
Utp3	1629	6614
Pkmyt1	2039	1870
Eefsec	2679	1774
Ifi30	981	4011
Aspa	1537	317
H2-Q8	1011	0
Rab8a	2012	11768
Sftpa1	2775	86
Sult1e1	1260	623
Ubd	937	20
Tor3a	3268	2073
Arpc1b	1551	57686
C1ra	2762	844
Cwc15	1152	8034
Cxcl16	1813	4500
Nat8f1	966	195
Fam89b	1212	9647
Grina	1693	24991
Nit2	1286	2239
Dmap1	1513	1921
Ctrl	888	29
Chia1	1524	10
Ppp1r7	3668	5066
Ndufa7	1201	6120
Dctpp1	634	2132
Pbk	1646	3195
Atp5md	363	6454
Slc30a7	9020	6450
Pgpep1	4882	5017
Slc5a4b	2132	0
Sppl2a	5612	16959
Cdc20	1784	6536
Fastk	1840	5288
Stoml2	1548	7485
Diablo	1939	2995
Nsmce3	1359	2486
Palmd	2394	15207
Ndufaf3	1438	565
Sbds	1547	7803
Krt20	1947	16093
Pycard	2135	489
Mrps34	914	2666
Zfp120	4096	516
Rhoj	2358	2334
Jam3	1970	111
Tubb3	1739	837
Sdha	2859	28957
Ceacam11	1011	0
Mkrn2	2240	4489
Pus3	2350	1069
Ndc80	2201	1541
Yipf5	2329	6477
Plekho1	1362	4104
Zkscan14	1981	732
Peli1	3485	2902
Bmyc	841	1580
Mrpl46	1029	1311
2210010C04Rik	2142	7
Snap29	3432	3708
Stard5	2425	1100
Samsn1	1845	227
Aadac	1294	1135
Rtp4	1573	212
Wfdc1	1169	105
Rprm	1460	2
Mdp1	1733	2374
Myl12b	939	20484
Npc2	3262	48954
Pgam1	1832	21364
Akirin1	2370	4732
Pwwp3a	3717	3964
Tox4	4458	10367
Tmem86b	1222	251
Npy	564	780
Ly6g6c	960	2
Ssna1	864	5019
Serhl	1367	968
Upk3a	1106	0
Fahd1	1407	1288
Sync	2038	29
Nat8f5	986	4
Xk	5043	314
Ing2	2813	2742
Nkx2-4	1065	0
Krtap3-1	604	0
Mrps9	1419	3697
Pla2g12b	1066	88
Rab3b	3320	449
Agk	2225	1893
Rsc1a1	2154	10
Ssty2	1216	0
Ino80b	1191	3001
Nol7	1811	7624
Slc44a4	2345	689
Cse1l	3604	8411
Muc2	7143	24
Epha1	3273	406
Hacd2	3603	3491
Slc29a3	5240	2941
Arid5b	4494	3676
Sfpq	3705	29832
Esm1	2103	172
Aox3	4360	111
Rgl3	2550	1521
Cyp2d40	1102	31
Lrat	5349	64
Plbd2	3595	9563
Isyna1	1838	10357
Gtf2a1l	1619	2
Aox4	4972	2
Riox1	2346	1500
Sars2	1910	869
Mccc1	2982	2303
Poglut2	2324	3877
Pex13	3266	3113
Wnt2	2115	71
Trim29	2830	164
Pcm1	8381	4916
Ripk4	3583	4919
Rsrp1	1415	17984
Igf2bp3	4347	117
Clns1a	3395	7034
Lime1	1959	1695
Rdh14	1472	1292
1810009J06Rik	856	0
Capn9	2330	6
Spns1	2782	4488
Tubb2b	1922	15604
Atp6v1d	1410	5093
Asz1	1740	85
Ccdc86	3003	2668
Abcb6	3042	1859
Crot	2803	5304
Pi16	2245	444
Ehhadh	3010	458
Uba7	3162	1005
Prl5a1	1045	0
Zfp84	5711	1564
Tfcp2l1	9270	2588
4930550L24Rik	1572	0
1700020D05Rik	1019	79
Yipf7	1219	67
Ppbp	1082	171
Mageh1	1398	62
Oga	5063	26585
Tbx18	4679	64
Trp53rkb	4413	384
Ankrd36	4771	0
Cmya5	11848	1948
Paqr4	2507	2761
Ift46	3337	5928
Dsp	9592	22538
Jam2	4817	1728
Krtap5-3	1652	0
9530002B09Rik	825	0
Ryr2	16813	1548
Cep70	2706	537
Elp4	6755	1612
Retnlb	696	0
Sapcd1	943	32
Rhox9	882	0
Pde6h	558	12
Plekhj1	1260	2739
Lipm	2701	0
Asb3	3225	1868
Foxi1	2354	0
Tsc22d4	3175	7199
Ern1	3976	7981
Chchd2	910	16728
Rtl8a	1275	160
Sec61b	552	5676
Atp6v1g1	1093	16060
Rps23	555	60785
Mrpl38	1411	4076
Alg14	2070	1493
Dele1	2404	4242
Dnajc10	4054	32363
Riok3	3661	19692
Asf1b	1599	1747
Oxct1	3482	4944
Yaf2	2318	4061
Chmp1b	2529	8663
Arl2bp	2235	6722
Nop56	2053	13993
Tbc1d20	3388	10677
Ndufa10	1209	7904
Gpx7	1214	166
Cstf1	1820	3327
Mfn1	4531	7231
Ankrd22	1754	5
Sec13	1301	9081
Derl1	3145	12984
Echdc3	1812	1143
Ppp6c	1697	4788
2310033P09Rik	1241	1572
Slc25a11	1861	7348
Rpl4	1422	154833
Anapc4	2668	12518
Tomm20	4986	15872
Zfp593	1976	489
Gpn3	1402	2874
Cmtm3	1616	7872
Rpl24	679	36347
Hsbp1	1165	10792
Ndufc2	681	4804
Pdhb	1485	10815
Stt3b	4379	21125
Rtn4	6674	76274
Mrpl28	1065	3642
Gdpd3	1068	348
Smtnl1	1761	24
Qdpr	1394	5399
Fbln7	2909	111
Gins4	1364	3701
Kif24	5598	594
Riok1	2744	3959
Fuca1	2523	4476
Kif23	3425	8205
Tmem79	2337	1664
Nkg7	813	4
Katnbl1	2883	4895
B3gat3	1584	4514
Hdhd3	1083	314
Usp16	2919	3584
Armt1	2290	1164
Smg8	3221	2755
Mxra8	2263	23715
Cyp27a1	1936	961
Rps25	684	48354
1700016D06Rik	708	3
Timmdc1	2077	2080
Rrbp1	5483	62710
Desi2	4213	6252
Ecrg4	888	25
Bves	4407	40
Popdc3	1851	15
Ky	5449	14
Fabp4	681	816
Plekhf1	1559	1336
Stx1b	1574	6
Mtap	2558	11978
Lap3	2267	8450
Nts	1180	38
Rab22a	1909	7276
Dusp19	1463	710
Cyp4f18	1702	388
Tsnaxip1	2210	39
Rab12	2010	8774
Sost	2066	0
Scd3	3470	58
Luzp1	7529	10711
Rab21	1824	5992
Rap1b	1937	19205
Ppp3r1	2829	16676
1810037I17Rik	976	5066
Zfp319	3973	3123
Klra23	935	0
Cptp	2662	2033
BC005537	2551	23792
Ublcp1	2138	2902
Grpel1	3338	5447
Car13	2299	3936
Actl7b	1421	14
Atp6v0e	796	9466
Pcbd1	822	3863
Dppa5a	639	0
Evpl	6398	1890
Gng10	1120	2284
Kin	1379	1842
Lyar	1551	4535
Stmn2	1904	156
Stfa3	412	6
Tbrg1	1565	10543
Natd1	4159	2786
Ciao1	3075	4715
Mecr	1337	1613
Mrpl17	6712	4059
Mrps7	1747	3419
Ftsj3	3153	9517
Tmem254a	2355	0
Sostdc1	1751	0
Dtd1	1283	412
Med21	780	3684
Ndufb5	999	5507
Mrpl54	587	1433
0610009B22Rik	795	1107
Sdhc	1179	9286
Sf3b6	1116	6550
Zfp524	1105	724
Haao	1224	287
Hsd17b14	1365	328
Gng11	837	271
Sdhaf2	3097	5964
Txndc12	1274	4424
Tmem167	10809	5606
Akr7a5	1648	2814
Aurkaip1	1209	4210
Sharpin	1733	3721
Eif3f	1507	30195
Cep20	1422	2438
Rmnd5b	1946	2857
Ndufa3	351	2590
Cpa1	1581	6
Tceal6	1115	0
Ndufa9	1322	9271
Tspan13	1923	2298
Tmed3	1324	4886
Dnajc30	1160	710
Fmc1	441	969
Chchd1	595	2822
Prxl2c	3010	21609
Prorp	3117	1544
Ska2	1349	2156
Ifitm3	648	10695
Cox7b	1001	7307
Eef1e1	1039	4554
Atp6v1f	635	7015
Necap2	2021	6464
Dnajc15	648	1111
Fbxo36	900	420
Pop4	1214	3681
Bccip	1244	4106
Tomm7	1109	4036
Chchd5	1302	1479
Med11	908	1543
Ogfod3	1243	949
Nop10	738	4281
Arl4d	1382	846
Uqcrc1	1656	14409
Ier3ip1	1394	6511
Lage3	760	1372
Pithd1	1538	2610
Pycrl	1353	2366
Lce1g	922	230
Cks2	694	3923
Them5	1251	0
Commd4	824	2785
Vta1	1325	2554
1110059G10Rik	3361	993
1110059E24Rik	1428	2844
Nenf	681	3935
Rgcc	914	356
Serpinb1a	1918	3532
Mrpl35	3695	2647
Llph	1162	1262
Rpl7l1	2606	10440
Mrps28	722	1353
Msmo1	1846	19168
Eif1ax	4865	13564
Mrps16	957	2510
Nemf	3722	5387
Alg5	1471	6148
Pno1	1563	3920
Taf13	1289	1995
Dimt1	2545	1497
Camk2n1	3613	18843
Ing5	4538	3936
Ccdc28b	840	283
Tmed6	863	39
Tmem126a	773	1775
Eef1akmt4	984	375
1810009A15Rik	813	22
Gkn1	1220	239
Gkn2	777	591
Sec11c	770	6855
Mptx1	803	0
Rmdn1	1875	347
Isoc1	2563	3018
Mplkip	2679	2389
Mrps22	1216	2000
Krt88	903	4
1700001K19Rik	954	73
Scp2d1	750	0
1700020L24Rik	931	317
Atp6v1c1	2098	7277
Cenpp	1054	403
Cdrt4	723	8
Eid3	1304	62
Mrpl37	1496	3177
Lce3b	561	0
1700029P11Rik	1024	0
Riiad1	628	20
Snw1	2257	11787
Gmpr	1584	377
Ostc	1062	11394
Adprm	1492	1056
Cox20	448	13
Rtca	1560	4111
Chmp4c	1790	1226
Lsm5	501	1338
2310011J03Rik	1659	2341
Dhrs7	1304	2862
Ndufc1	414	2193
Krtap3-3	732	0
Rnf113a2	1379	1612
Srp19	876	4295
Nudt8	786	1665
Prelid3b	1389	4689
Prl2b1	864	0
Ccdc82	4665	2933
Sar1b	1253	5766
Commd5	998	1428
Tsfm	1180	1489
Alkbh7	935	717
Nudt2	848	1123
Sln	520	70
Asf1a	2182	1885
Rtf2	2142	8304
Mcts2	795	851
Mrps15	938	2706
Rsl1d1	1839	13419
Mterf3	1486	1970
Psmd6	1337	10031
Mrpl11	2882	3905
Polr2e	1008	6707
Pcp4l1	1575	112
Cyb5b	4294	38741
Mien1	744	2323
Borcs7	2176	1327
Tnfaip8l1	2365	1942
Cyc1	1519	9414
Mgst3	1097	6848
Mrpl20	1130	3086
Pam16	552	1240
2610528J11Rik	915	42
Srsf9	1252	8165
Pyurf	5410	1517
Sys1	1608	5060
Ptpmt1	1321	4077
Mrps25	6065	2663
Taf12	1351	1468
Prxl2b	785	337
Ctrb1	887	10
Rpl36al	517	9445
Rpl35	452	41254
Polr2l	1671	1253
Zmat2	2257	7466
Mrpl51	1515	4656
Prelid1	1089	39574
Ndufb3	750	2240
Cmss1	1171	839
Ccdc59	1078	2129
Lamtor1	1186	5799
Mrpl16	1124	2258
Tab1	2944	4046
Asrgl1	2274	509
Cul7	5529	12515
Eid1	2543	5476
Rwdd1	1082	2656
2810004N23Rik	1382	5527
Timm50	1179	4149
Tceanc2	6243	2268
Cfap157	1675	219
Rep15	982	121
2310050C09Rik	1067	0
Lgals2	592	16545
Pomp	740	8380
Fam107b	3148	18994
Cox6b1	471	10246
Aggf1	3254	10022
Bpifb2	1730	0
Metap1d	1259	1284
Teddm3	1286	0
Rwdd3	1696	142
Gdpd1	2484	2897
Uqcrh	546	8144
Mis18a	1300	1901
Snrnp40	1588	3997
Cmpk1	1880	8957
Farsa	1829	7342
Mad2l1bp	1272	1299
Uqcr11	436	3107
Gtf3a	1298	2168
Rdm1	1098	374
Gemin2	1590	1331
Ms4a4d	1519	151
Ribc1	1510	131
Ormdl3	2023	5245
Pigk	4865	4691
Snx9	3338	22887
Snrnp27	836	5148
Ubr7	3247	6022
Tmem222	1482	3207
Spcs2	2815	14339
Golph3	2608	20493
Tsen15	1132	830
Sike1	2798	3967
Ctnnbl1	2731	9935
Lix1	3103	5
Nepn	1823	0
Col27a1	7634	30279
Brf2	1383	1332
Tex12	617	5
Ccdc51	2397	657
Srp72	3605	20795
Uba5	2402	5537
Tmem41a	1359	1354
Sorcs3	5634	0
Tmed7	3452	20022
Oser1	1562	1456
Trappc5	2034	5160
Tbc1d15	3779	6043
Klhl28	2854	944
Uqcrfs1	1313	12850
Spryd4	1568	828
Rbm4b	1830	1260
Dnase1l2	1236	78
Nkapl	1455	159
Krtap3-2	1031	0
Spesp1	3013	4
4921524J17Rik	1595	2256
Ccer1	1868	0
Ccdc96	3584	44
Klhl10	2012	20
Lrrk2	8230	270
Map1lc3a	1045	3126
Emc2	1245	2014
4931417E11Rik	1095	0
Cfap36	1523	1887
Trpd52l3	2231	0
Erich2	1749	17
Erlec1	3501	6036
Ppp1r14bl	1780	2
Adat2	1453	527
4933417A18Rik	1044	0
Nt5el	2157	0
4933411K16Rik	1401	50
Tmem239	1139	16
Pacrgl	1464	809
Gid4	4400	4781
Asb17	1048	6
Speer4d	1159	0
4933436I01Rik	1426	0
Fam187a	1563	0
Efcab1	1128	0
Atg10	1609	571
Dtnbp1	1310	2692
Prkrip1	1654	2263
Rbm22	2079	8166
Duoxa2	1592	76
Thap2	4976	1726
Tmem170	1943	888
Rnf186	1247	121
Nacc1	4304	22039
Rsph3a	1960	627
Acot13	686	1694
Tmem223	748	2992
Wdr45b	2344	8186
Etfdh	2281	7172
Mrpl33	466	3007
Hint3	696	463
Ppp1r2	4074	9012
Plbd1	1974	1195
Slc16a9	3563	134
Clec14a	4539	130
Nhlrc2	3934	6280
Hmg20a	3768	4068
Mfsd1	2978	11410
Tril	5358	32
Ncbp3	6284	3987
Swt1	3668	1267
Crnkl1	3111	3725
Carhsp1	2849	19881
Bzw1	3877	45142
Appbp2	2405	4865
Acadsb	3348	6256
Lman2	4315	24127
Eif4e3	2513	3975
Wwp2	5004	9434
Naa16	3875	2162
Baiap2l1	3248	17281
Plin3	2159	15300
Mpi	1785	1539
Tmem107	1265	511
Bzw2	1871	10520
Kdelr2	1850	16364
Ndufb7	533	3828
Chordc1	2205	5277
Rras2	2275	5256
Sdhd	1285	10929
Dmac1	731	1622
Fank1	1974	29
Rexo1	5249	4966
Dsn1	2283	1888
Cir1	1945	1958
Arl1	842	5275
Ddx18	2249	5396
Acad8	2864	1919
Trim59	2920	6443
Pacc1	2626	3320
2310030G06Rik	1248	572
Cdca7	2361	3425
Serpinb11	1699	0
Swsap1	1846	455
Golt1b	2796	7312
Trit1	2078	1756
Cdk5rap1	1970	736
2410002F23Rik	1982	6092
Luc7l	6636	8968
Zfp830	3278	1886
Med19	2059	3434
Rassf7	1525	3513
Rab5a	2364	10197
Smarcd3	1725	1266
Cep19	1728	849
Psmd12	1723	11078
Med28	4568	4894
Prl3a1	1282	0
Rrp8	3177	3050
Napa	2402	10645
Uqcrc2	1882	14740
Dek	2602	7269
Polr3k	2921	3746
Cisd2	2869	6069
Ifrd2	1980	3059
Yae1d1	3436	1432
Oma1	1866	1250
Riox2	2149	1300
Fam210b	3605	4378
Tmem88	1585	135
Ccdc43	2307	3759
Rpl11	1210	36496
2610002M06Rik	5841	1730
Upf3a	1401	3563
Mrpl45	2431	4893
Ly6m	1887	34
Ift27	990	811
Syap1	2316	6309
Higd2a	613	4634
Riok2	3197	4358
Rars	2131	10433
Nkap	4262	2272
Rpp14	2467	0
Ola1	2304	7646
Pi4k2b	3211	12779
Pgp	2593	3264
ccdc198	1167	5
Ceacam14	1024	0
Cand2	5453	698
Psmc6	1564	12801
Gatm	2357	2723
Mmachc	1930	819
2310039H08Rik	773	1228
Ptgr1	2104	3166
Timm21	2418	2413
Zbtb8os	3557	1013
Pgc	1384	32
Rpl14	935	56273
Dynlt3	2153	9615
Mastl	4652	1660
Nrarp	2575	6800
Tspan31	1543	8633
Atp5e	414	6686
Lce1a1	708	3
Ube2g1	3837	9918
Ndufa6	560	7329
Acbd4	2076	1913
Gp2	1985	0
Bpifa5	1085	0
Herc6	5279	406
Mis12	2992	2964
Efhd2	2381	7691
Fbxo5	1807	1311
Ramac	1423	3868
Nkain1	2552	6060
Rnf141	952	2571
Psmd9	2591	3406
Rnaseh2b	1498	1564
2610301B20Rik	2118	1412
Sft2d3	2810	1158
Eef1g	1565	101451
Ccdc47	3268	13530
Lipt2	1229	555
Arl8b	2928	15591
Nradd	1164	1373
Cdt1	2191	4975
Ctdnep1	1614	10026
Zmynd19	3030	3521
Pfdn1	1077	17693
Eif2s2	2513	12999
Utp11	953	3180
Lsm1	2360	2398
Gatad1	2547	12571
Cmtm6	3352	12721
L3hypdh	1705	516
Med18	1677	621
Srfbp1	2658	2068
Rrp15	1212	3021
Med29	2162	1126
Zfp329	7931	1184
Obi1	3456	2301
Cinp	2179	2399
Fam220a	2323	2728
Rpl39	434	30872
Cap2	3658	270
Cers4	3668	139
Dipk1a	2724	3206
Cmtm5	890	0
Eri1	5067	6813
Med31	1161	1150
Rpl37	867	36961
Ift22	911	1234
Srek1ip1	1882	3302
Elp1	6160	9778
Pbld2	2211	110
Nanp	1375	18
1700022I11Rik	3726	12
Iqcf4	727	0
Lyzl1	850	0
Atp8b3	4411	43
Snrpd3	604	4591
H2ap	554	0
Tex43	564	0
Dr1	3080	5901
Pudp	1044	0
Tmed11	763	0
Paxbp1	3826	5255
Qpctl	2100	1490
Eif2s1	3152	14306
Hat1	1576	3986
Bbs2	2647	1439
Med4	1304	3347
Bag4	4797	2392
Hmgn3	911	685
Rab5if	1050	9967
C1qtnf12	1321	153
Fundc2	3261	7560
Erp29	1243	7962
Srpr	2934	16630
Txndc8	620	0
Cylc1	1969	0
4930449I24Rik	1168	0
Soga3	3946	162
Ears2	6528	1029
Ppil4	2896	2141
Rps20	3446	65256
4921536K21Rik	2618	188
Hoga1	1618	914
Ssr3	2885	62390
Xab2	2654	7948
Isoc2b	1065	336
Retsat	1963	3165
C1qtnf4	1365	42
Plxdc2	6947	586
Pkp2	2891	6328
Pnpla8	4404	5083
Ikbip	4110	4121
Frmd8	3166	17224
Ergic1	2733	22446
Nvl	9392	6452
Decr1	2829	5082
Poc5	3033	1742
Sf3a1	4916	10074
Pdcl	2858	4824
Gpalpp1	5448	6054
Mmd	2661	28702
Gpatch1	3057	2067
Slc47a1	2634	249
Ero1b	4239	960
Abhd15	3249	283
Cwc25	3307	3284
1700028P14Rik	868	4
Eepd1	2673	4377
Dhx40	3724	5398
Calcoco1	2824	16360
Atic	2611	14338
Mettl16	2718	3151
Tmem167b	2864	7729
Kcnv1	4496	0
Ccar1	4478	8699
Rnf151	1188	11
Saysd1	2304	912
Tmed9	1451	15577
Agpat2	1574	4179
Kctd4	3015	2
Atg12	2492	6766
Uqcrb	548	6289
Mfap1a	3419	1467
Ccdc39	3616	88
Cog6	2920	4120
Gpr89	1765	2470
Slc25a30	1706	8019
Mgat4d	1292	0
Pigm	7569	4257
Larp6	2308	37
Wdr48	3821	6607
Ciao3	2555	2436
Tmem35a	1918	6
Mrfap1	1630	28727
Slc39a9	5230	6543
Mrpl49	1726	4350
Alg13	5405	1309
Patl2	2434	13
Slc25a26	1919	1241
Poteg	2014	0
Ubxn11	1577	46
Ubl4b	1376	0
4930524B15Rik	1959	0
4930519G04Rik	2041	0
Necap1	2395	4946
Dusp6	2797	33393
Fibin	2069	227
Narf	4412	6320
4930453N24Rik	1331	2178
Ube2r2	3312	21807
Nob1	1647	6956
Lrp2bp	3420	43
Bend5	1908	54
Tm7sf3	3312	6489
Ftmt	1461	0
Armc12	1103	6
Ctdp1	3710	6966
4930548H24Rik	1427	16
Ift172	5408	3620
Tex46	670	0
Alkbh8	2269	1022
Elob	508	10004
Cuta	824	3601
Rpp21	500	1325
Lsm3	631	3140
Mrpl18	959	4228
1700011L22Rik	978	2
Aldh3b1	1894	2332
Prss37	1049	0
Hypk	604	5859
Fam174a	2107	2306
Tmem179b	848	2693
Pcnx4	4420	2658
Reg4	1021	4
Polr2g	868	5957
