Geneid	Length	genome_mapping/High_6556c4.rep7.RNAseq.mm10.sorted.bam
Nsrp1	3116	987
Slc25a47	1580	3458
Pgbd1	3580	45
Sctr	1922	3
Mup20	886	118
Ecm2	3596	71
Zfp708	2634	75
Zbtb18	5705	1925
Mdk	1403	239
Slc2a9	3865	411
Bpifb1	1712	6
Hacd1	1008	577
AU022252	1867	402
Hspb6	1853	1840
Hs3st6	1358	2
Ankrd6	5296	60
Cxcl12	7161	2711
Fut10	5095	292
Ehmt1	5107	3124
Klri1	838	5
Rims1	6949	2
Acd	1718	1135
AY761185	486	0
Smim19	1459	869
Wfdc13	1074	0
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	361
Ear12	471	0
Zfp787	3027	921
Dhrs7c	1124	158
Lrrn4cl	2600	216
Odf3b	1040	39
Mterf1a	1376	75
Usp13	4686	653
Tgfbrap1	5719	1778
Ttf2	4541	1122
Tmem263	3778	1147
Ctc1	4167	1285
Npcd	4873	0
Osm	1907	683
Wdr91	2637	863
Prkaa1	4655	1815
E2f8	3880	791
Pfdn4	1059	758
Sesn1	3339	1899
Dtx3l	5181	859
Nrp	1170	51
Tmprss13	3244	0
Lman2l	2290	807
Utp18	2613	1463
Rpp38	1027	242
Arhgef39	2402	292
Uspl1	3934	1640
Zfp930	2996	432
Dync1li2	4633	4791
Rsad1	4151	1034
Lrrc52	1137	3
Podnl1	2080	238
Grm4	5265	10
Rasl10b	4010	142
Zfp182	5944	342
Mrs2	2161	538
Scn4b	4757	142
Cpsf6	6572	3449
Gm11487	1323	0
Tcaim	3039	387
Nkain2	3745	12
Ccl26	282	0
Neurl4	5267	1846
Ric8b	4962	854
Olfr112	1672	0
Inip	3216	530
Pard3	8550	3754
Vmo1	672	9
Ercc6l2	6161	1579
Tex24	1767	0
Trim6	3827	216
Ddn	3740	8
Zfp57	3228	2157
Tmem151b	4851	32
Gm597	2882	0
Syna	2918	17
Pcdh17	9509	82
Gm9949	984	39
5730409E04Rik	2855	501
Grhl3	2791	8
Vwde	6597	18
Lingo3	3559	6
Gas2l2	2943	4
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	133
Ces1a	1979	0
Zscan4c	2276	4
Samd3	3554	2
Capn11	2575	1
Rsl1	2045	72
Lipo3	2842	49
Gm973	4375	4
Nxpe5	2312	174
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	0
Tvp23a	3313	50
Aim2	2537	291
Slc25a34	2682	488
Fam71b	2190	0
Ccdc92b	4002	26
Akr1c19	1242	1054
Zscan26	4362	1422
Vmn1r209	939	0
Otulin	1489	1115
Spink6	777	0
Mettl21c	1086	5
Macrod2	5041	102
Flg2	7671	0
Ankrd13c	4317	1878
Gm5591	3441	0
Fam169b	2876	230
Maml2	6139	924
Amt	2047	362
Gm5622	1581	0
Sp140	2416	153
Slc22a28	2004	0
Krtap4-16	951	0
Gm5662	1842	0
Dupd1	1103	10
Shf	1928	765
Gpr31b	960	0
Prkg1	7378	168
Dyrk2	2137	1418
Adgrf3	3099	8
Fbxw22	1824	0
Zfp985	2827	2
Trcg1	2701	0
Abi3bp	4742	609
Scn2b	4562	14
4930404N11Rik	695	0
Zmynd12	1505	15
Snx13	6226	2495
Ttll4	8164	1693
Espl1	6684	1180
Wdr7	7108	1075
Fam189b	3240	2129
Cenpj	4363	137
Klrh1	2000	0
Zfyve28	3980	16
Rap1gap2	7238	1663
G2e3	6726	1423
Dcaf1	5697	1419
E130308A19Rik	5481	431
Tyw1	6626	1879
Taf9	1334	1875
Arid3c	1751	9
Gm21943	1206	0
Gm20815	1796	0
Tbata	2023	0
Ear4	467	0
Kdm6b	6820	2897
Rasef	5183	458
Cox17	436	1325
Btbd11	5955	953
Zscan18	3772	38
Lamp2	6772	11271
Ddi2	3539	1479
Zdhhc18	2847	1552
Foxred2	4891	1256
C2cd3	7812	1167
Dppa4	1534	0
Izumo1	1493	2
Grxcr1	1071	0
Otol1	2161	0
Sp3	4428	3381
Rtl8b	1272	192
Lce3f	620	0
Ldoc1	1340	0
Trim15	1866	190
Kbtbd7	4528	310
Anks6	3980	127
Pla2g4d	3286	0
Gpr139	4776	0
Adamts15	6078	424
Nxf3	2978	0
Fbxo10	5970	479
Pla2g4f	3116	0
Ugt2a2	2536	0
Nufip2	10399	2765
Trappc1	745	1122
Defa24	419	0
Gm5431	2971	23
Crls1	2054	1010
Add1	4516	13694
Bcat1	8102	344
Diras2	4348	114
Cdhr3	2953	14
Dcun1d2	3034	547
Brd9	2494	1564
Fam149b	3149	816
Larp4	6747	3123
Shc2	3957	1914
Snx32	1930	293
Cep170b	6640	12472
Ankrd28	5229	3485
Pdp2	5670	490
Cfap299	861	0
Rabl6	3191	3845
Inpp4b	9795	1589
Xirp2	11971	2292
Tsku	2800	2182
Pcnp	2447	1891
Cdkl5	3246	241
Zfp873	2365	168
Carmil3	5308	24
Methig1	1449	0
Ifnl2	582	0
Cpa2	1325	0
Zbtb45	2238	482
C1ql4	717	4
Mctp2	5789	151
Prpmp5	1284	0
Gm5458	1004	0
Lrp3	3994	225
Krtap10-10	1305	0
Gm3696	2222	0
Cma2	1099	2
Triobp	7736	3252
Gal3st3	2422	20
Cyp2c67	1706	168
Hmcn1	18314	530
Ifi214	1294	0
Zfp607a	3511	147
Rps23rg1	1621	2
Cebpz	4077	2159
Adarb1	6706	2234
Gm128	1470	29
Hoxc11	915	0
Zfp62	5001	801
Apol7b	2227	4
Gm14325	4394	403
Rhox10	760	0
Ankrd34a	2586	16
Timm9	1117	517
Ttbk2	11268	1284
Septin10	5152	1744
N4bp2	5731	754
Rfx4	4074	2
Bod1	1402	1601
Trp53i13	1366	400
Ddx49	2193	1520
Cyb5d2	2376	211
Pitpnm3	6666	298
Zfp667	3671	58
Rbfox3	4921	12
Pilrb2	1815	538
Qsox1	3361	10476
Zfp563	6382	203
Rc3h1	11011	2200
Pbx4	1427	63
Pik3r1	7363	2841
Lrig2	7174	1312
Ntrk2	14037	156
Rhox12	935	0
Rhox1	882	0
Gm5797	997	0
Rhox7a	983	0
Atf2	6433	2850
Arl14ep	3666	1120
Cracr2b	1687	685
Ccdc93	7256	1220
Zfp78	4990	42
Cxadr	6951	7343
Adam34l	2572	0
Gm20747	1120	0
Krtap31-2	935	0
Mbp	6718	3528
Trp53i11	3322	1160
Vegfa	4174	15892
H2al1e	494	0
Tpd52	6331	9663
Dffa	2672	616
Tfap2b	6502	2
Stx3	5097	1052
Pja2	4706	4072
St6galnac6	2695	1163
Dclre1b	4288	507
Tapbp	2750	4689
Defb46	174	0
Gm6040	857	0
Klc1	3180	5279
Rtn2	2102	341
Miip	1813	1019
Serinc4	2534	123
Adcyap1r1	6245	180
Zfp943	2734	302
Wdr61	1331	1357
Orc2	3561	1206
Sema3g	3686	180
Adam39	2441	0
Gpr17	5193	139
Insyn2b	5371	6
Gm14685	2773	0
DXBay18	2862	0
Tas2r137	1002	0
Olfr243	951	0
Eno1b	1758	2649
Sufu	4525	1504
Bclaf1	5454	4026
Src	3887	7024
Depdc5	8446	1065
Hmga1	2046	571
Spag9	7864	6785
