Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Olr1350	972	0
Olr1345	939	0
Olr363	939	0
Olr360	915	0
Olr358	933	0
Olr348	924	0
Olr347	924	0
Olr336	963	0
Olr331	947	0
Olr330	939	0
Olr322	936	0
Olr312	936	0
Olr310	933	0
Olr306	933	0
Olr289	930	0
Olr7	942	0
Olr1460	927	0
Olr1459	927	0
Olr1455	930	0
Olr1453	927	0
Olr1452	990	0
Olr1450	918	0
Olr1449	921	0
Olr1442	915	0
Olr1435	918	0
Olr1431	948	0
Olr1424	939	0
Olr1421	963	0
Olr1415	1008	0
Olr1414	954	0
Olr1411	933	0
Olr1410	935	1
Olr1408	942	0
Olr1406	912	0
Olr1404	948	0
Olr1388	936	0
Olr1338	948	0
Olr1331	769	0
Olr1329	933	0
Olr1321	933	0
Olr1316	939	0
Olr1313	936	0
Olr1308	933	0
Olr1303	927	0
Olr1291	960	0
Olr1288	945	0
Olr1286	960	0
Olr1275	936	0
Olr1274	933	0
Olr1266	936	0
Olr1262	942	0
Olr1261	942	0
Olr1253	933	0
Olr1250	933	0
Olr1247	921	0
Olr1246	933	0
Olr1245	933	0
Olr1244	933	0
Olr1239	933	0
Olr1236	936	0
Olr1231	951	0
Olr1220	942	0
Olr1213	945	0
Olr1206	927	0
Olr1202	930	0
Olr1201	933	0
Olr1199	936	0
Olr1194	930	0
Olr868	948	0
Olr860	942	0
Olr427	924	1
Olr421	993	0
Olr418	933	0
Olr413	939	0
Olr409	942	0
Olr407	939	0
Olr401	939	0
Olr398	930	0
Olr396	939	0
Olr1642	957	0
Olr1639	942	0
Olr1638	936	0
Olr1633	930	0
Olr1632	975	0
Olr1631	975	0
Olr1622	939	0
Olr1617	936	0
Olr1616	936	0
Olr1614	939	0
Olr821	963	0
Olr819	942	0
Olr818	933	0
Olr816	933	0
Olr813	942	0
Olr812	933	0
Olr811	936	0
Olr809	936	0
Olr808	957	0
Olr807	951	0
Olr804	954	0
Olr803	939	0
Olr799	945	0
Olr844	954	0
Olr386	975	0
Olr1380	942	0
Olr1364	963	1
Olr1192	963	0
