"id","UniqueID","Gene.Name","Protein.ID","GeneType"
215,"RP23-470P10.1","RP23-470P10.1","","protein_coding"
216,"RP23-470P10.2","RP23-470P10.2","","protein_coding"
217,"RP24-254D14.3","RP24-254D14.3","","protein_coding"
218,"RP24-254D14.1","RP24-254D14.1","","protein_coding"
219,"Jph1","Jph1","","protein_coding"
220,"RP23-110G23.2","RP23-110G23.2","","protein_coding"
221,"Gdap1","Gdap1","","protein_coding"
222,"RP24-317E22.1","RP24-317E22.1","","protein_coding"
223,"RP24-317E22.2","RP24-317E22.2","","protein_coding"
224,"RP23-215C21.1","RP23-215C21.1","","protein_coding"
225,"Rbm6-ps1","Rbm6-ps1","","protein_coding"
226,"RP23-215C21.3","RP23-215C21.3","","protein_coding"
227,"Gm25166","Gm25166","","protein_coding"
228,"Pi15","Pi15","","protein_coding"
229,"RP23-329F7.2","RP23-329F7.2","","protein_coding"
230,"AC104917.1","AC104917.1","","protein_coding"
231,"Crispld1","Crispld1","","protein_coding"
232,"RP23-329F7.3","RP23-329F7.3","","protein_coding"
233,"RP24-571A14.1","RP24-571A14.1","","protein_coding"
234,"RP24-571A14.3","RP24-571A14.3","","protein_coding"
235,"RP24-571A14.4","RP24-571A14.4","","protein_coding"
236,"RP24-571A14.6","RP24-571A14.6","","protein_coding"
237,"RP24-571A14.2","RP24-571A14.2","","protein_coding"
238,"RP24-571A14.5","RP24-571A14.5","","protein_coding"
239,"Crisp4","Crisp4","","protein_coding"
240,"Defb44-ps","Defb44-ps","","protein_coding"
241,"Defb18","Defb18","","protein_coding"
242,"Defb41","Defb41","","protein_coding"
243,"RP24-108N24.2","RP24-108N24.2","","protein_coding"
244,"RP24-284D7.1","RP24-284D7.1","","protein_coding"
245,"Gm24075","Gm24075","","protein_coding"
246,"RP23-122B3.1","RP23-122B3.1","","protein_coding"
247,"RP23-122B3.2","RP23-122B3.2","","protein_coding"
248,"AC098736.3","AC098736.3","","protein_coding"
249,"Tfap2d","Tfap2d","","protein_coding"
250,"AC098736.2","AC098736.2","","protein_coding"
251,"Tfap2b","Tfap2b","","protein_coding"
252,"RP24-119I6.2","RP24-119I6.2","","protein_coding"
253,"RP24-119I6.4","RP24-119I6.4","","protein_coding"
254,"RP24-119I6.5","RP24-119I6.5","","protein_coding"
255,"Gm24633","Gm24633","","protein_coding"
256,"RP24-132H2.1","RP24-132H2.1","","protein_coding"
257,"Pkhd1","Pkhd1","","protein_coding"
258,"RP23-245C4.1","RP23-245C4.1","","protein_coding"
259,"AC101789.2","AC101789.2","","protein_coding"
260,"AC101789.1","AC101789.1","","protein_coding"
261,"Gm24162","Gm24162","","protein_coding"
262,"Lincmd1","Lincmd1","","protein_coding"
263,"Mir206","Mir206","","protein_coding"
264,"Mir133b","Mir133b","","protein_coding"
265,"Il17a","Il17a","","protein_coding"
266,"Il17f","Il17f","","protein_coding"
267,"Mcm3","Mcm3","","protein_coding"
268,"RP23-191A12.1","RP23-191A12.1","","protein_coding"
269,"RP23-191A12.2","RP23-191A12.2","","protein_coding"
270,"Gm24723","Gm24723","","protein_coding"
271,"RP23-191A12.5","RP23-191A12.5","","protein_coding"
272,"Paqr8","Paqr8","","protein_coding"
273,"Gm24171","Gm24171","","protein_coding"
274,"RP23-191A12.6","RP23-191A12.6","","protein_coding"
275,"Efhc1","Efhc1","","protein_coding"
276,"Tram2","Tram2","","protein_coding"
277,"RP24-278K16.1","RP24-278K16.1","","protein_coding"
278,"RP23-80N7.1","RP23-80N7.1","","protein_coding"
279,"Tmem14a","Tmem14a","","protein_coding"
280,"RP23-278E1.4","RP23-278E1.4","","protein_coding"
281,"Gsta3","Gsta3","","protein_coding"
282,"RP23-80N7.2","RP23-80N7.2","","protein_coding"
283,"RP23-278E1.5","RP23-278E1.5","","protein_coding"
284,"RP23-278E1.2","RP23-278E1.2","","protein_coding"
285,"RP23-278E1.3","RP23-278E1.3","","protein_coding"
286,"Khdc1a","Khdc1a","","protein_coding"
287,"AC115920.6","AC115920.6","","protein_coding"
288,"AC115920.7","AC115920.7","","protein_coding"
289,"Khdc1c","Khdc1c","","protein_coding"
290,"AC115920.8","AC115920.8","","protein_coding"
291,"AC115920.9","AC115920.9","","protein_coding"
292,"Khdc1b","Khdc1b","","protein_coding"
293,"AC115920.4","AC115920.4","","protein_coding"
294,"Kcnq5","Kcnq5","","protein_coding"
295,"RP24-496H1.1","RP24-496H1.1","","protein_coding"
296,"AC115920.2","AC115920.2","","protein_coding"
297,"RP23-322P13.2","RP23-322P13.2","","protein_coding"
298,"Gm26580","Gm26580","","protein_coding"
299,"RP24-78G8.1","RP24-78G8.1","","protein_coding"
300,"RP24-261D2.1","RP24-261D2.1","","protein_coding"
301,"Rims1","Rims1","","protein_coding"
302,"RP23-42E3.1","RP23-42E3.1","","protein_coding"
303,"RP24-495G2.1","RP24-495G2.1","","protein_coding"
304,"RP24-495G2.2","RP24-495G2.2","","protein_coding"
305,"RP24-163I14.1","RP24-163I14.1","","protein_coding"
306,"Gm24176","Gm24176","","protein_coding"
307,"RP23-28L24.5","RP23-28L24.5","","protein_coding"
308,"Mir30a","Mir30a","","protein_coding"
309,"RP23-28L24.7","RP23-28L24.7","","protein_coding"
310,"Mir30c-2","Mir30c-2","","protein_coding"
311,"RP23-28L24.8","RP23-28L24.8","","protein_coding"
312,"RP23-28L24.9","RP23-28L24.9","","protein_coding"
313,"Ogfrl1","Ogfrl1","","protein_coding"
314,"RP24-361E14.1","RP24-361E14.1","","protein_coding"
315,"RP23-25K16.1","RP23-25K16.1","","protein_coding"
316,"B3gat2","B3gat2","","protein_coding"
317,"Smap1","Smap1","","protein_coding"
318,"Sdhaf4","Sdhaf4","","protein_coding"
319,"RP24-287C19.1","RP24-287C19.1","","protein_coding"
320,"Fam135a","Fam135a","","protein_coding"
321,"RP23-255J24.2","RP23-255J24.2","","protein_coding"
322,"RP23-255J24.1","RP23-255J24.1","","protein_coding"
323,"Col9a1","Col9a1","","protein_coding"
324,"Col19a1","Col19a1","","protein_coding"
325,"Gm26418","Gm26418","","protein_coding"
326,"Tubb4b-ps2","Tubb4b-ps2","","protein_coding"
327,"RP23-8J15.7","RP23-8J15.7","","protein_coding"
328,"RP23-8J15.6","RP23-8J15.6","","protein_coding"
329,"RP23-8J15.5","RP23-8J15.5","","protein_coding"
330,"RP23-8J15.4","RP23-8J15.4","","protein_coding"
331,"RP23-8J15.3","RP23-8J15.3","","protein_coding"
332,"RP23-8J15.2","RP23-8J15.2","","protein_coding"
333,"RP23-8J15.1","RP23-8J15.1","","protein_coding"
334,"Lmbrd1","Lmbrd1","","protein_coding"
335,"RP23-109H7.1","RP23-109H7.1","","protein_coding"
336,"RP24-178K6.1","RP24-178K6.1","","protein_coding"
